ID X Y Elevation Lon Lat
64 -2252101 2108850 1008.14 -122.647467323091 39.1437199168998
65 -2251711 2108789 973.97 -122.642893680082 39.1441598034608
66 -2251814 2109395 870.09 -122.646007873948 39.14910127152
67 -2261403 2116653 1269.75 -122.77714761968 39.1875856871066
68 -2261382 2123896 856.92 -122.800464482187 39.2497120635722
69 -2261741 2117284 1149.56 -122.782991861711 39.1921549918696
70 -2263534 2121562 1203.29 -122.817035806965 39.2243652114658
71 -2261251 2112835 992.55 -122.763043109045 39.155239979457
72 -2259970 2123026 855.34 -122.781773154118 39.2457607828781
73 -2252036 2117526 1167.19 -122.674804559903 39.2182641460025
74 -2256290 2110793 1307.01 -122.700759099685 39.1500240662402
75 -2250564 2109185 852.11 -122.631300655554 39.1503861834693
76 -2251277 2110278 673.94 -122.642834623245 39.1579978002422
77 -2260560 2117510 1071.95 -122.770469238143 39.1970218037677
78 -2262177 2118404 1039.93 -122.791526690459 39.2006715961968
79 -2264031 2121412 1220.52 -122.82212785266 39.2218448868041
80 -2263659 2121079 1350.12 -122.816867024993 39.2199155764151
81 -2262823 2121119 1106.24 -122.807610527474 39.2223350366367
82 -2263232 2120910 1238.81 -122.81152268521 39.2195280864996
83 -2263745 2119384 1361.18 -122.812316048491 39.2051765337784
84 -2262852 2120670 1122.4 -122.806475091305 39.2184151868919
85 -2262149 2120393 1079.82 -122.797680656581 39.2177869760558
86 -2262370 2120864 1003.96 -122.801694318869 39.2212746991479
87 -2263980 2122142 1211.34 -122.823932170321 39.2282272554782
88 -2261505 2120983 847.69 -122.792368438001 39.224442060471
89 -2262188 2121718 944.04 -122.802429238477 39.2290453322046
90 -2261761 2112926 1174.09 -122.769060433065 39.154755186046
91 -2261794 2112277 1347.11 -122.76732376838 39.1491109896547
92 -2261369 2113647 1201.16 -122.767003055023 39.1619068148373
93 -2259420 2123266 1022.01 -122.7763752976 39.2491823123124
94 -2259898 2123611 927.96 -122.782866977929 39.2509531665758
95 -2259402 2122476 804.09 -122.773604519442 39.2424561474789
96 -2260530 2123392 818.68 -122.789254078978 39.2475078100545
97 -2255651 2110728 1107.45 -122.693378349138 39.1510475065243
98 -2249914 2108814 944.37 -122.622807303569 39.1488088664341
99 -2249975 2109462 653.29 -122.625584563433 39.1542145879129
100 -2250838 2109786 686.08 -122.636317462114 39.1548630372684
101 -2251408 2109753 898.38 -122.642608285763 39.1531730838282
102 -2252185 2110225 823.76 -122.652854452337 39.1553013571372
103 -2261115 2117213 1190 -122.775734418632 39.1930996471066
104 -2262134 2117776 1212.67 -122.789002356448 39.1953962628662
105 -2260888 2123759 780.12 -122.794469540897 39.2497644393315
106 -2261355 2123035 709.81 -122.797359335633 39.242400304378
107 -2255042 2111619 700.14 -122.689428675419 39.1601918828795
108 -2249085 2110098 616.32 -122.617648312256 39.16186343822
109 -2260361 2116471 1237.97 -122.764860611597 39.1886103269827
110 -2261342 2118005 1092.8 -122.780856215867 39.1993242769631
111 -2263192 2117706 1335.92 -122.800650234156 39.1921699013669
112 -2260666 2122573 724.38 -122.788117564023 39.2401511943036
113 -2255891 2111546 923.27 -122.698720201685 39.1574661922795
114 -2255208 2111079 910.46 -122.689543449945 39.1551521058676
115 -2254284 2110365 1099.39 -122.676863547397 39.1513155607117
116 -2249431 2109641 804.79 -122.620056532542 39.1570914288037
117 -2248430 2108725 764.01 -122.605863766229 39.1517055206886
118 -2249990 2110424 584.57 -122.628860193472 39.1624260882813
119 -2248693 2109442 628.54 -122.611130069704 39.157205197401
120 -2260623 2116960 1188.3 -122.769389779327 39.1921516713343
121 -2260893 2116501 1314.16 -122.770929480909 39.1875480656318
122 -2259709 2117135 1112.89 -122.759698012071 39.1959180525544
123 -2261374 2115821 1188.43 -122.774119235944 39.1805269571607
124 -2260664 2115829 1089.01 -122.766176611766 39.1823564950832
125 -2262683 2118054 1133.28 -122.79606864069 39.1964159842548
126 -2250640 2110405 522.56 -122.636095063003 39.1606590991557
127 -2261006 2114734 988.17 -122.766459071558 39.1721234006371
128 -2259483 2115665 913.12 -122.752388583215 39.1838788713551
